normalizedIngredient,occurrences,sourceCount,recipeCount,beforeMapped,afterExactProduct,afterFamilyResolved,afterProcessInput,afterAmbiguous,afterProductGap,resolutionState,candidateFamily,reason,recommendedNextAction
"томатная паста","19","4","19","19","19","0","0","0","0","EXACT_PRODUCT","томатная паста","exact canonical product","none"
"яйцо","19","2","21","19","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","яйца","exact accepted form-specific product","none"
"твердый сыр","18","3","18","0","0","18","0","0","0","PRODUCT_FAMILY_RESOLVED","твердый сыр","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"фарш мясной","18","3","18","0","0","18","0","0","0","PRODUCT_FAMILY_RESOLVED","фарш мясной","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"укроп","17","3","17","0","0","17","0","0","0","PRODUCT_FAMILY_RESOLVED","укроп","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"сыр твердый","16","2","17","0","0","16","0","0","0","PRODUCT_FAMILY_RESOLVED","сыр твердый","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"куриное филе","15","4","15","15","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","грудка","exact accepted form-specific product","none"
"лимонный сок","15","3","16","0","0","15","0","0","0","PRODUCT_FAMILY_RESOLVED","лимонный сок","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"яйцо куриное","15","2","15","0","0","15","0","0","0","PRODUCT_FAMILY_RESOLVED","яйцо","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"зелень","14","3","16","0","0","0","14","0","0","PROCESS_INPUT","зелень","process ingredient remains in accounting","none"
"панировочные сухари","13","2","13","0","0","13","0","0","0","PRODUCT_FAMILY_RESOLVED","панировочные сухари","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"петрушка","13","4","14","13","13","0","0","0","0","EXACT_PRODUCT","петрушка","exact canonical product","none"
"","12","1","10","0","0","0","0","12","0","AMBIGUOUS","","multiple accepted products match exact wording","retain family and resolve form only with explicit evidence"
"масло сливочное","12","2","14","0","0","12","0","0","0","PRODUCT_FAMILY_RESOLVED","масло сливочное","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"перец","12","2","12","0","0","0","12","0","0","PROCESS_INPUT","перец","process ingredient remains in accounting","none"
"тыква","12","4","12","12","12","0","0","0","0","EXACT_PRODUCT","тыква","exact canonical product","none"
"ванилин","11","4","11","0","0","11","0","0","0","PRODUCT_FAMILY_RESOLVED","ванилин","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"гречка","11","2","11","11","11","0","0","0","0","EXACT_PRODUCT","гречка","exact canonical product","none"
"манка","11","3","10","0","0","11","0","0","0","PRODUCT_FAMILY_RESOLVED","манка","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"горчица","10","3","10","10","10","0","0","0","0","EXACT_PRODUCT","горчица","exact canonical product","none"
"куриные яйца","10","2","10","0","0","10","0","0","0","PRODUCT_FAMILY_RESOLVED","яйца","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"соевый соус","10","3","10","10","10","0","0","0","0","EXACT_PRODUCT","соевый соус","exact canonical product","none"
"зеленый лук","9","3","10","9","9","0","0","0","0","EXACT_PRODUCT","зеленый лук","exact canonical product","none"
"сливки","9","4","10","0","0","9","0","0","0","PRODUCT_FAMILY_RESOLVED","сливки","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"говядина","8","3","9","0","0","8","0","0","0","PRODUCT_FAMILY_RESOLVED","говядина","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"капуста белокочанная","8","2","8","8","8","0","0","0","0","EXACT_PRODUCT","капуста белокочанная","exact canonical product","none"
"мед","8","4","8","8","8","0","0","0","0","EXACT_PRODUCT","мед","exact canonical product","none"
"огурцы","8","2","9","8","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","огурец","exact accepted form-specific product","none"
"подсолнечное масло","8","2","8","8","8","0","0","0","0","EXACT_PRODUCT","подсолнечное масло","exact canonical product","none"
"разрыхлитель","8","4","8","0","0","0","8","0","0","PROCESS_INPUT","разрыхлитель","process ingredient remains in accounting","none"
"специи","8","2","9","0","0","0","8","0","0","PROCESS_INPUT","специи","process ingredient remains in accounting","none"
"шампиньоны","8","4","9","8","8","0","0","0","0","EXACT_PRODUCT","шампиньоны","exact canonical product","none"
"манная крупа","7","3","7","7","7","0","0","0","0","EXACT_PRODUCT","манная крупа","exact canonical product","none"
"масло подсолнечное","7","2","7","0","0","0","0","0","7","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотый черный перец","7","2","7","0","0","7","0","0","0","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"мука пшеничная","7","2","7","7","7","0","0","0","0","EXACT_PRODUCT","мука пшеничная","exact canonical product","none"
"овсяные хлопья","7","1","7","7","7","0","0","0","0","EXACT_PRODUCT","овсяные хлопья","exact canonical product","none"
"помидор","7","2","7","0","0","7","0","0","0","PRODUCT_FAMILY_RESOLVED","помидор","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"сладкий перец","7","2","7","0","0","7","0","0","0","PRODUCT_FAMILY_RESOLVED","сладкий перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"сыр","7","2","8","0","0","0","0","0","7","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"ванильный сахар","6","3","6","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","ванильный сахар","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"кабачки","6","4","7","6","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","кабачок","exact accepted form-specific product","none"
"курица","6","2","6","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","курица","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"морская соль по вкусу","6","1","6","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","морская соль","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"овощной бульон","6","1","6","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","овощной бульон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"паприка молотая","6","1","5","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","паприка","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"перец ч.м.","6","0","0","0","0","0","0","0","6","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"помидоры черри","6","3","7","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","помидоры черри","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"пшено","6","2","6","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","пшено","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"свинина","6","2","7","0","0","6","0","0","0","PRODUCT_FAMILY_RESOLVED","свинина","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"стебель сельдерея","6","2","6","0","0","0","0","0","6","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"томатный соус","6","2","6","6","6","0","0","0","0","EXACT_PRODUCT","томатный соус","exact canonical product","none"
"баклажаны","5","3","5","5","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","баклажан","exact accepted form-specific product","none"
"белый хлеб","5","2","5","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","белый хлеб","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"болгарский перец","5","2","6","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","болгарский перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"говяжий фарш","5","2","5","5","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","фарш говяжий","exact accepted form-specific product","none"
"кальмары","5","2","5","5","0","0","0","0","0","SAFE_ALIAS","кальмар","deterministic lexical alias","none"
"крахмал","5","2","4","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","крахмал","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"лимон","5","2","5","5","5","0","0","0","0","EXACT_PRODUCT","лимон","exact canonical product","none"
"лук зеленый","5","2","7","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","лук зеленый","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"перец болгарский","5","2","5","5","5","0","0","0","0","EXACT_PRODUCT","перец болгарский","exact canonical product","none"
"перец чили","5","3","5","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"тимьян","5","1","7","0","0","5","0","0","0","PRODUCT_FAMILY_RESOLVED","тимьян","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"авокадо","4","2","4","4","4","0","0","0","0","EXACT_PRODUCT","авокадо","exact canonical product","none"
"базилик","4","3","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","базилик","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"бекон","4","2","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","бекон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"гречневая крупа","4","1","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","гречневая крупа","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"зира","4","2","4","4","4","0","0","0","0","EXACT_PRODUCT","зира","exact canonical product","none"
"изюм","4","2","4","4","4","0","0","0","0","EXACT_PRODUCT","изюм","exact canonical product","none"
"капуста","4","1","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","капуста","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"кинза","4","1","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","кинза","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"консервированная кукуруза","4","1","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","кукуруза","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"красный лук","4","1","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","красный лук","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"крупа гречневая","4","2","4","0","0","4","0","0","0","PRODUCT_FAMILY_RESOLVED","гречневая крупа","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"куркума","4","3","4","4","4","0","0","0","0","EXACT_PRODUCT","куркума","exact canonical product","none"
"мускатный орех","4","3","4","4","4","0","0","0","0","EXACT_PRODUCT","мускатный орех","exact canonical product","none"
"паприка","4","2","4","4","4","0","0","0","0","EXACT_PRODUCT","паприка","exact canonical product","none"
"петрушка по вкусу","4","1","4","4","4","0","0","0","0","EXACT_PRODUCT","петрушка","exact canonical product","none"
"уксус","4","3","4","0","0","0","4","0","0","PROCESS_INPUT","уксус","process ingredient remains in accounting","none"
"бульон","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"ветчина","3","4","4","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","ветчина","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"грецкие орехи","3","2","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","грецкие орехи","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"дижонская горчица","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","дижонская горчица","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"для подачи по желанию","3","0","0","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"душистый перец горошком","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","душистый перец горошком","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"зелень свежая","3","1","4","0","0","0","3","0","0","PROCESS_INPUT","зелень","process ingredient remains in accounting","none"
"карри","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","карри","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"колбаса","3","2","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"корица","3","3","3","3","3","0","0","0","0","EXACT_PRODUCT","корица","exact canonical product","none"
"красный сладкий перец","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крахмал кукурузный","3","2","3","3","3","0","0","0","0","EXACT_PRODUCT","крахмал кукурузный","exact canonical product","none"
"креветки","3","3","4","3","3","0","0","0","0","EXACT_PRODUCT","креветки","exact canonical product","none"
"круглый рис","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","круглый рис","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"крупная соль по вкусу","3","0","0","0","0","0","3","0","0","PROCESS_INPUT","крупная соль","process ingredient remains in accounting","none"
"куриная грудка","3","2","4","3","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","грудка","exact accepted form-specific product","none"
"куриный фарш","3","2","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","фарш","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"лук порей","3","1","3","3","3","0","0","0","0","EXACT_PRODUCT","лук порей","exact canonical product","none"
"масло растительное для жарки","3","0","0","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотый черный перец щепотка","3","1","3","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"пармезан","3","1","2","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","пармезан","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"перец болгарский красный","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец горошком","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец сладкий","3","2","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"петрушка свежая","3","1","4","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","петрушка","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"растительное масло по вкусу","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"рисовый уксус","3","2","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"розмарин","3","2","4","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","розмарин","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"сельдерей","3","2","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","сельдерей","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"сода","3","2","3","0","0","0","3","0","0","PROCESS_INPUT","сода","process ingredient remains in accounting","none"
"соль перец","3","1","3","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"соль щепотка","3","1","3","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"спагетти","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр пармезан","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр твердых сортов","3","1","2","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"тертый сыр пармезан","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"черный молотый перец","3","1","3","0","0","3","0","0","0","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"шпинат","3","2","3","3","3","0","0","0","0","EXACT_PRODUCT","шпинат","exact canonical product","none"
"яблоки","3","1","3","3","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","яблоко","exact accepted form-specific product","none"
"яблочный уксус","3","1","3","0","0","0","0","0","3","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"яичный желток","3","2","3","3","3","0","0","0","0","EXACT_PRODUCT","яичный желток","exact canonical product","none"
"армянский лаваш","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"базилик сушеный","2","2","2","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","базилик","exact accepted form-specific product","none"
"банан","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","банан","exact canonical product","none"
"бананы","2","1","2","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","банан","exact accepted form-specific product","none"
"батон","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","батон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"белая консервированная фасоль","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белокочанная капуста","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белые грибы","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брокколи","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","брокколи","exact canonical product","none"
"вустерширский соус","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говядина на кости","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"грибы","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","грибы","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"груши","2","2","2","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","груша","exact accepted form-specific product","none"
"для теста","2","1","2","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"душистый перец","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","душистый перец","exact canonical product","none"
"зелень по вкусу","2","1","2","0","0","0","2","0","0","PROCESS_INPUT","зелень","process ingredient remains in accounting","none"
"кабачок","2","2","3","2","2","0","0","0","0","EXACT_PRODUCT","кабачок","exact canonical product","none"
"каперсы","2","2","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","каперсы","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"капуста брокколи","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кетчуп","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","кетчуп","exact canonical product","none"
"кефир","2","2","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","кефир","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"корейская морковь","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корень имбиря","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корень сельдерея","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красное сухое вино","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красный винный уксус","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупа манная","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кунжут","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","кунжут","exact canonical product","none"
"куриные грудки","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриные ножки","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонная цедра","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонная цедра по вкусу","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонный сок по вкусу","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","лимонный сок","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"лимоны","2","1","2","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","лимон","exact accepted form-specific product","none"
"листья салата","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук белый","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук шалот","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"малина","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","малина","exact canonical product","none"
"масло","2","2","3","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","масло","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"масло постное","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мидии","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","мидии","exact canonical product","none"
"миндаль","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","миндаль","exact canonical product","none"
"молотый перец чили","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"мука для панировки","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука при необходимости","2","0","0","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мягкий сыр","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"оливки","2","2","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","оливки","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"оливковое масло по вкусу","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","оливковое масло","exact canonical product","none"
