normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason
"кабачок","2","2","EXACT_PRODUCT","кабачок","exact canonical product"
"каперсы","2","2","PRODUCT_FAMILY_RESOLVED","каперсы","corpus-backed identity family; concrete product selection remains pending"
"капуста брокколи","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кетчуп","2","2","EXACT_PRODUCT","кетчуп","exact canonical product"
"кефир","2","2","PRODUCT_FAMILY_RESOLVED","кефир","generic identity resolved without arbitrary variant selection"
"корейская морковь","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"корень имбиря","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"корень сельдерея","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"красное сухое вино","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"красный винный уксус","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крупа манная","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"кунжут","2","2","EXACT_PRODUCT","кунжут","exact canonical product"
"куриные грудки","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"куриные ножки","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"лимонная цедра","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"лимонная цедра по вкусу","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"лимонный сок по вкусу","2","1","PRODUCT_FAMILY_RESOLVED","лимонный сок","corpus-backed identity family; concrete product selection remains pending"
"лимоны","2","1","FORM_EXPLICIT_PRODUCT","лимон","exact accepted form-specific product"
"листья салата","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"лук белый","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"лук шалот","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"малина","2","2","EXACT_PRODUCT","малина","exact canonical product"
"масло","2","2","PRODUCT_FAMILY_RESOLVED","масло","corpus-backed identity family; concrete product selection remains pending"
"масло постное","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мидии","2","2","EXACT_PRODUCT","мидии","exact canonical product"
"миндаль","2","1","EXACT_PRODUCT","миндаль","exact canonical product"
"молотый перец чили","2","1","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection"
"мука для панировки","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мука при необходимости","2","0","PRODUCT_MISSING","","no accepted product or family evidence"
"мягкий сыр","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"оливки","2","2","PRODUCT_FAMILY_RESOLVED","оливки","corpus-backed identity family; concrete product selection remains pending"
"оливковое масло по вкусу","2","1","EXACT_PRODUCT","оливковое масло","exact canonical product"
"оливковое масло extra virgin","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"панировка","2","1","PRODUCT_FAMILY_RESOLVED","панировка","corpus-backed identity family; concrete product selection remains pending"
"перепелиное яйцо","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец молотый","2","2","PRODUCT_FAMILY_RESOLVED","перец","corpus-backed identity family; concrete product selection remains pending"
"перец черный горошком","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец чили по вкусу","2","2","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection"
"плавленый сыр","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"приправа для курицы","2","2","PROCESS_INPUT","приправа для курицы","process ingredient remains in accounting"
"пшеничная лапша","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рис арборио","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рис круглый","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"рубленая петрушка","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"салат айсберг","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"сало","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"сахар ванильный","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свежемолотый черный перец щепотка","2","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"свежий тимьян","2","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свекла","2","1","EXACT_PRODUCT","свекла","exact canonical product"
"смесь молотых перцев по вкусу","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь салатных листьев","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сметана 15 20%","2","1","PRODUCT_FAMILY_RESOLVED","сметана","generic identity resolved without arbitrary variant selection"
"сметана 20%","2","1","FORM_EXPLICIT_PRODUCT","сметана","exact accepted form-specific product"
"сок лайма","2","1","PRODUCT_FAMILY_RESOLVED","сок лайма","corpus-backed identity family; concrete product selection remains pending"
"соль и перец","2","1","PROCESS_INPUT","соль и перец","process ingredient remains in accounting"
"соль черный молотый перец","2","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"сосиски","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"соус чили","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"специи по вкусу","2","1","PROCESS_INPUT","специи","process ingredient remains in accounting"
"сушеный майоран по вкусу","2","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр горгонзола","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр моцарелла","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"твердый сыр по вкусу","2","1","PRODUCT_FAMILY_RESOLVED","твердый сыр","corpus-backed identity family; concrete product selection remains pending"
"тимьян сушеный","2","1","FORM_EXPLICIT_PRODUCT","тимьян","exact accepted form-specific product"
"томатный сок","2","1","PRODUCT_FAMILY_RESOLVED","томатный сок","corpus-backed identity family; concrete product selection remains pending"
"тушенка","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"тыква очищенная","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фарш свино говяжий","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фенхель","2","1","EXACT_PRODUCT","фенхель","exact canonical product"
"филе куриной грудки","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"хмели сунели","2","2","PRODUCT_MISSING","","no accepted product or family evidence"
"цветная капуста","2","2","EXACT_PRODUCT","цветная капуста","exact canonical product"
"черная смородина","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черный перец горошком","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"чесночный порошок","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"яйца куриные","2","1","PRODUCT_FAMILY_RESOLVED","яйца","generic identity resolved without arbitrary variant selection"
"айва","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"ананасы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"английские огурцы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"апельсиновая цедра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"арахисовое масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"асафетида щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"базилик по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","базилик","generic identity resolved without arbitrary variant selection"
"базилик сухой","1","1","PRODUCT_FAMILY_RESOLVED","базилик","corpus-backed identity family; concrete product selection remains pending"
"баклажан","1","1","EXACT_PRODUCT","баклажан","exact canonical product"
"бальзамический крем","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"бараний фарш","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"баранина","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"барбарис","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"батат сырой","1","0","PRODUCT_FAMILY_RESOLVED","батат","generic identity resolved without arbitrary variant selection"
"бекон по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","бекон","corpus-backed identity family; concrete product selection remains pending"
"белая часть лука порей","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белое сухое вино","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белый лук","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белый перец горошком по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белый сыр чеддер","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"бобы адзуки хундоу","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"болгарский перец свежий или замороженный","1","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"брусника","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"брусничный джем","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"брусничный морс","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"булгур","1","1","PRODUCT_FAMILY_RESOLVED","булгур","generic identity resolved without arbitrary variant selection"
"булка белая","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"булочка для гамбургеров","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"бульон куриный","1","1","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending"
"бульонные кубики 5 6 шт","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"ванильный сахар щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"ветчина или колбаса сосиски","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"винный уксус","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"винный уксус по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"виноград","1","1","EXACT_PRODUCT","виноград","exact canonical product"
"вишня","1","1","EXACT_PRODUCT","вишня","exact canonical product"
"вишня без косточек","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"вода или бульон","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"вода или молоко","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"вода кипяток","1","0","PROCESS_INPUT","вода кипяток","process ingredient remains in accounting"
"вода ледяная","1","1","PROCESS_INPUT","вода ледяная","process ingredient remains in accounting"
"гарам масала","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"гвоздика","1","1","EXACT_PRODUCT","гвоздика","exact canonical product"
"говядина мякоть","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"говяжий бульон","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"говяжье филе","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"говяжья вырезка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"голубика","1","1","PRODUCT_FAMILY_RESOLVED","голубика","corpus-backed identity family; concrete product selection remains pending"
"голяшки говяжьи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"горошек зеленый","1","1","EXACT_PRODUCT","горошек зеленый","exact canonical product"
"горчица дижонская","1","1","EXACT_PRODUCT","горчица дижонская","exact canonical product"
"горчичное масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"гранатовый сок","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"грибной бульон","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"грудка индейки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"длиннозерный рис","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"для бульона","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для клецек","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для начинки","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для подачи","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для подготовки формы","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для соуса","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для соуса маринада","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"для супа","1","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"ежевика","1","1","EXACT_PRODUCT","ежевика","exact canonical product"
"ежевичное пюре","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"заменитель сахара по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"замороженная мексиканская смесь","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"замороженная черная смородина","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"замороженный шпинат","1","1","PRODUCT_FAMILY_RESOLVED","шпинат","generic identity resolved without arbitrary variant selection"
"запеченный лосось","1","1","PRODUCT_FAMILY_RESOLVED","лосось","generic identity resolved without arbitrary variant selection"
"зеленый лук перья","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"зеленый лук свежая зелень","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"зеленый салат","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
