normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason,recommendedNextAction
"красный винный уксус","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупа манная","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриные грудки","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриные ножки","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонная цедра","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонная цедра по вкусу","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"листья салата","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук белый","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук шалот","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло постное","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука для панировки","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука при необходимости","2","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мягкий сыр","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"оливковое масло extra virgin","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перепелиное яйцо","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец черный горошком","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"плавленый сыр","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"пшеничная лапша","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис арборио","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис круглый","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рубленая петрушка","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"салат айсберг","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сало","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахар ванильный","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежий тимьян","2","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"смесь молотых перцев по вкусу","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"смесь салатных листьев","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сосиски","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"соус чили","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сушеный майоран по вкусу","2","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр горгонзола","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр моцарелла","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"тушенка","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"тыква очищенная","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"фарш свино говяжий","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"филе куриной грудки","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"хмели сунели","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"черная смородина","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"черный перец горошком","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"чесночный порошок","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"айва","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"ананасы","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"английские огурцы","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"апельсиновая цедра","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"арахисовое масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бальзамический крем","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бараний фарш","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"баранина","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"барбарис","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белая часть лука порей","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белое сухое вино","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый лук","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый перец горошком по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый сыр чеддер","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бобы адзуки хундоу","1","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брусника","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брусничный джем","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брусничный морс","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"булка белая","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"булочка для гамбургеров","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бульонные кубики 5 6 шт","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"винный уксус","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"винный уксус по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"вишня без косточек","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"гарам масала","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говядина мякоть","1","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжий бульон","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжье филе","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжья вырезка","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"голяшки говяжьи","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"горчичное масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"гранатовый сок","1","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
